Sr,Population,value
332293.25163989683,Competition Specialist,2105.1635439537235
336532.5118250557,Competition Specialist,2104.928849517103
340825.85474234517,Competition Specialist,2104.69716067375
345173.9703569455,Competition Specialist,2104.468871227657
349577.55743632786,Competition Specialist,2104.2426230755827
354037.3236625486,Competition Specialist,2104.020728558136
358553.9857459817,Competition Specialist,2103.7996868440323
363128.26954049565,Competition Specialist,2103.5824496885575
367760.91016010306,Competition Specialist,2103.367991184905
372452.6520970979,Competition Specialist,2103.1553885567773
377204.24934169935,Competition Specialist,2102.9472663266433
382016.46550322376,Competition Specialist,2102.740929273402
386890.07393279753,Competition Specialist,2102.537229433169
391825.857847644,Competition Specialist,2102.336132641677
396824.6104569486,Competition Specialist,2102.136956444888
401887.1350893299,Competition Specialist,2101.9416137123417
407014.2453219439,Competition Specialist,2101.7481254546824
412206.7651112274,Competition Specialist,2101.557107986656
417465.52892531344,Competition Specialist,2101.3694433586866
422791.38187813526,Competition Specialist,2101.182357956592
428185.1798652407,Competition Specialist,2100.9985627180326
433647.78970134084,Competition Specialist,2100.817112904458
439180.0892596086,Competition Specialist,2100.637978206396
444782.96761276305,Competition Specialist,2100.461128715674
450457.3251759463,Competition Specialist,2100.286431770253
456204.07385142246,Competition Specialist,2100.1153151699427
462024.1371751313,Competition Specialist,2099.9438430166533
467918.450465102,Competition Specialist,2099.7759983986307
473887.9609717651,Competition Specialist,2099.610139982458
479933.6280301816,Competition Specialist,2099.446395446057
486056.4232142129,Competition Specialist,2099.2847375392053
492257.33049266017,Competition Specialist,2099.1257891174473
498537.34638738935,Competition Specialist,2098.9675744037536
504897.4801334852,Competition Specialist,2098.8109346383167
511338.75384143315,Competition Specialist,2098.6584396678145
517862.2026613854,Competition Specialist,2098.506818552353
524468.8749495118,Competition Specialist,2098.3571279358994
531159.8324364776,Competition Specialist,2098.209342980818
537936.1503980698,Competition Specialist,2098.0629078990537
544798.9178279998,Competition Specialist,2097.9193869253327
551749.2376129117,Competition Specialist,2097.777178571904
558788.2267096237,Competition Specialist,2097.6372689062073
565917.0163246242,Competition Specialist,2097.498156386512
573136.7520958723,Competition Specialist,2097.361301761634
580448.5942768984,Competition Specialist,2097.226187820153
587853.7179232724,Competition Specialist,2097.092208774727
595353.313081437,Competition Specialist,2096.9610928796737
602948.5849799565,Competition Specialist,2096.831473207659
610640.7542232036,Competition Specialist,2096.70269624849
618431.0569875183,Competition Specialist,2096.577139821027
626320.7452198679,Competition Specialist,2096.4508271614777
634311.0868390441,Competition Specialist,2096.326832659327
642403.3659394191,Competition Specialist,2096.20421783136
650598.8829973167,Competition Specialist,2096.0848999962654
658898.9550799957,Competition Specialist,2095.9660105831804
667304.9160573194,Competition Specialist,2095.847623282362
675818.116816111,Competition Specialist,2095.7337503481817
684439.9254772507,Competition Specialist,2095.618274248861
693171.72761554,Competition Specialist,2095.505363487716
702014.9264823721,Competition Specialist,2095.3938345082706
710970.9432312424,Competition Specialist,2095.283721568693
720041.2171461376,Competition Specialist,2095.175673496439
729227.2058728313,Competition Specialist,2095.0676715719396
738530.3856531461,Competition Specialist,2094.960569989241
747952.2515621829,Competition Specialist,2094.857071357511
757494.317748598,Competition Specialist,2094.752801204024
767158.1176779303,Competition Specialist,2094.6517824511293
776945.2043790388,Competition Specialist,2094.5510874436127
786857.1506936844,Competition Specialist,2094.451669947033
796895.5495292937,Competition Specialist,2094.3535136402606
807062.014114949,Competition Specialist,2094.257760488842
817358.1782606457,Competition Specialist,2094.1609203656303
827785.6966198472,Competition Specialist,2094.066696362079
838346.2449554102,Competition Specialist,2093.973181227764
849041.5204088755,Competition Specialist,2093.8810933534537
859873.2417732205,Competition Specialist,2093.7891777044715
870843.1497690724,Competition Specialist,2093.7004055200773
881953.0073244539,Competition Specialist,2093.6117759551476
893204.599858096,Competition Specialist,2093.524269872439
904599.7355663648,Competition Specialist,2093.4378729426885
916140.2457138521,Competition Specialist,2093.352571021588
927827.9849276613,Competition Specialist,2093.267848589017
939664.8314954691,Competition Specialist,2093.1851965383707
951652.6876673712,Competition Specialist,2093.103096590679
963793.4799615795,Competition Specialist,2093.0220368757773
976089.159474036,Competition Specialist,2092.94200413823
988541.7021919574,Competition Specialist,2092.862985293412
1001153.1093113902,Competition Specialist,2092.78564388679
1013925.4075588143,Competition Specialist,2092.7079377840255
1026860.6495168497,Competition Specialist,2092.6318837841486
1039960.9139541204,Competition Specialist,2092.5567930020393
1053228.3061593163,Competition Specialist,2092.482653173981
1066664.958279539,Competition Specialist,2092.4094521940224
1080273.0296629411,Competition Specialist,2092.337178111915
1094054.7072057435,Competition Specialist,2092.2655901549606
1108012.2057036918,Competition Specialist,2092.195185136909
1122147.7682079803,Competition Specialist,2092.1258000428984
1136463.6663857242,Competition Specialist,2092.0556809625855
1150962.2008850311,Competition Specialist,2091.989303553996
1165645.7017047275,Competition Specialist,2091.922348368822
1180516.5285688057,Competition Specialist,2091.8559647003017
1195577.0713056356,Competition Specialist,2091.791702114017
1210829.7502320395,Competition Specialist,2091.727080569441
1226277.0165422417,Competition Specialist,2091.661699400893
1241921.3527017846,Competition Specialist,2091.6000705504175
1257765.2728464885,Competition Specialist,2091.53701944619
1273811.3231864786,Competition Specialist,2091.4778511293457
1290062.0824153782,Competition Specialist,2091.41569202121
1306520.16212472,Competition Specialist,2091.3566300627976
1323188.2072236435,Competition Specialist,2091.2973059256215
