,genus,phyla,num_isolates,bp,NumContigs,mT1,rT1,sT1,rmT1,mT2,rT2,rmT2,mT3,rT3,rmT3,T4,T2G,pr,prm,rmT?,pT2G,T2G_posthoc,rmTotal,bp_std,NumContigs_std,mT1_std,rT1_std,sT1_std,rmT1_std,mT2_std,rT2_std,rmT2_std,mT3_std,rT3_std,rmT3_std,T4_std,T2G_std,pr_std,prm_std,rmT?_std,pT2G_std,T2G_posthoc_std,rmTotal_std,Morphology
831,Calothrix,Cyanobacteria,15,8878889.2,105.4,2.333333333,4.2,2.533333333,0.333333333,16.8,7,3.666666667,0.133333333,0.666666667,0.133333333,2.2,0.266666667,0,0,0.066666667,1.533333333,1.466666667,8.133333333,2181080.763,232.5777289,1.67616342,2.305273458,1.641718032,0.723746864,9.608032354,3.625307869,2.023669463,0.351865775,0.975900073,0.351865775,2.007130147,0.59361684,0,0,0.25819889,1.457329587,1.407463101,5.3434428,Heterocystous
879,Richelia,Cyanobacteria,2,2728334,515.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,728921.0254,601.7478708,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,
908,Fischerella,Cyanobacteria,41,5831194.659,300.5853659,0.195121951,0.390243902,0.146341463,0.024390244,7.682926829,4.146341463,1.951219512,0,0.073170732,0,0.097560976,0.048780488,0,0,0,0.146341463,0.12195122,2.243902439,795560.4982,300.7220457,0.678951846,0.971546416,0.52730331,0.156173762,1.572244008,2.525479911,1.047645444,0,0.263651655,0,0.300406229,0.21808479,0,0,0,0.421958269,0.399695006,1.445345768,Ramified
957,Fortiea,Cyanobacteria,1,5742264,3,2,2,2,0,7,3,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
966,Microchaete,Cyanobacteria,1,10126555,15,5,5,3,0,13,8,5,0,0,0,5,0,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heterocystous
968,Gloeomargarita,Cyanobacteria,1,3049282,1,1,1,1,1,21,8,7,1,2,1,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1030,Cylindrospermopsis,Cyanobacteria,20,3808829.15,268.65,0.45,0.5,0.3,0,7.3,3.1,1.05,0.3,1.15,0.3,0.6,0.35,0,0,0,3,3,5.3,214120.998,190.1966503,0.510417786,0.512989176,0.470162346,0,1.780005914,1.518309309,1.099042646,0.801314709,0.74515982,0.801314709,0.820782682,0.489360485,0,0,0,1.123902974,1.123902974,2.054520049,Heterocystous
1046,Dolichospermum,Cyanobacteria,3,4672494,68,1.666666667,3,1,0.333333333,27,14.33333333,10,1,1,1,1.666666667,1.333333333,0,0,0,12,12,26.33333333,427841.4377,61.21274377,2.081665999,1,1,0.577350269,6.244997998,2.081665999,2.645751311,0,0,0,1.527525232,1.527525232,0,0,0,1.732050808,1.732050808,2.081665999,Heterocystous
1071,Nodularia,Cyanobacteria,5,5425671.6,100.4,2.6,4,2.4,0.2,17.8,12.8,7.2,0.6,1,0.6,0.8,0.8,0,0,0.2,4.2,3.8,13.6,218826.4402,137.7653803,0.894427191,0.707106781,0.894427191,0.447213595,2.863564213,4.91934955,3.033150178,0.547722558,1,0.547722558,1.788854382,0.447213595,0,0,0.447213595,2.387467277,2.167948339,3.577708764,Heterocystous
1072,Vulcanococcus,Cyanobacteria,1,3548884,160,3,4,3,0,1,0,0,0,0,0,1,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
